기준일,서울,인천,경기,강원,충북,충남,대전,세종,경북,대구,전북,전남,광주,경남,부산,울산,제주
2024-08-31,80474,49758,138713,19851,23361,28837,20266,5030,31424,33130,23104,29076,14115,44001,41175,9042,44490
2024-09-30,81088,50994,141404,20142,23844,29502,20435,5102,31941,33447,23572,30012,14309,44764,41929,9213,45748
2024-10-31,81599,52472,145219,20458,24707,30280,20587,5247,32462,33766,24071,30580,14643,45740,42611,9393,47306
2024-11-30,82824,54387,149479,20730,25255,30504,21098,5343,33410,35012,24701,31123,15093,46295,43531,9684,48523
2024-12-31,83868,54398,151850,21004,25375,30654,21314,5424,33905,35212,24872,31417,15240,46628,44259,9817,49007
2025-01-31,83562,54820,152165,21077,25237,30662,21364,5523,33990,35093,24954,31566,15271,46873,44591,9851,49442
2025-02-28,84172,55919,155103,21287,25932,31657,21506,5674,35237,35477,25533,32322,15489,48510,45284,10015,49690
